FID,Park_Id,Park_Name,Owner,Ward,class,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
140,PN18W5,Downing Street Park, ,Ward 5, ,548.385963104,15584.9178245,1.809703936e-06,0.006139849780201
141,PN12W5,Clark Street Rifle Range,City of Fredericton,Ward 5,Undeveloped,5521.75117609,966710.403748,0.000112277378546,0.05764088052693
142,PN63W5,Royals Field, ,Ward 5, ,1765.3915013,94037.379675,1.0919968748e-05,0.018501493586373
143,PN12W5,Clark Street Rifle Range,City of Fredericton,Ward 5,Undeveloped,910.352367737,47537.0612501,5.520047474e-06,0.010072306671561
144,PN64W3,Sierra Drive  Park, ,Ward 3, ,595.078921326,10219.4575,1.186808771e-06,0.006682015665622
145,PS44W10,Small Craft Aquatic Center, ,Ward 10, ,231.584194199,3302.48749999,3.83375863e-07,0.002565123327324
146,PN13W5,Clayton Street Park,City of Fredericton,Ward 5, ,446.896623965,3931.51124995,4.56616552e-07,0.004483327891183
147,PS45W10,Smythe Street Green, ,Ward 10, ,235.889274793,1435.37624992,1.66623396e-07,0.002476956147294
148,PN13W5,Clayton Street Park,City of Fredericton,Ward 5, ,232.008228745,3315.26500003,3.85045629e-07,0.002518091192524
149,PS45W10,Smythe Street Green, ,Ward 10, ,216.163746466,903.621249841,1.04893759e-07,0.002267257776711
150,PS9W12,Coburn Court Park,City of Fredericton,Ward 12, ,459.095055101,6651.78695286,7.72153977e-07,0.005133354638329
151,PS45W10,Smythe Street Green, ,Ward 10, ,42.4697146908,80.3975000161,9.332778e-09,0.000454467163325
152,PS45W10,Smythe Street Green, ,Ward 10, ,229.965918928,1384.50375008,1.60711443e-07,0.002384415598301
153,PS10W12,Coburn Drive Park,City of Fredericton,Ward 12,Undeveloped,402.179262576,6221.59749997,7.22205135e-07,0.004531736592815
154,PS46W7,Stoneybrook Crescent Park, ,Ward 7, ,1468.14544827,26567.9650002,3.082049364e-06,0.016070115472462
155,PS11W12,Colonial Heights Park,City of Fredericton,Ward 12,Undeveloped,751.597412459,11390.2671026,1.322076579e-06,0.007911207572048
156,PN65W1,Sunset Drive, ,Ward 1,Undeveloped,253.36836005,1688.11875004,1.96006752e-07,0.002843708857478
157,PN15W5,Crocket Street Park A, ,Ward 5, ,534.247039033,7597.67499989,8.82227934e-07,0.00615556621277
158,PN66W6,Timber Lane Park, ,Ward 6, ,250.943422158,3542.86874991,4.1106517e-07,0.002666157444378
159,PN16W5,Crocket Street Park B, ,Ward 5,Undeveloped,325.153138174,4536.08249997,5.26711472e-07,0.003305087496626
160,PS29W11,Lincoln Trail, ,Ward 11, ,240.198081622,1203.70250001,1.3970922e-07,0.002875492979129
161,PN17W6,Dewitt Acres Park, ,Ward 6, ,220.328971893,2827.81125004,3.28184412e-07,0.002390461837238
162,PS47W11,University Avenue Green, ,Ward 11, ,246.322844148,2119.46249993,2.45994681e-07,0.002575804830885
